data,description,source,link,Image_link,similar_images
2019-06-21T11:45:46-07:00,"For some, you could hear the sound of war drums. It was coming. Iran had shot down a surveillance drone in international waters. President Trump did not mince words, saying Iran made a huge mistake, though was cagey about military action. He told the press “you’ll find out” when asked. President Trump has taken action before, firing cruise missiles at an airfield in Syria in",townhall,https://townhall.com/tipsheet/mattvespa/2019/06/21/trump-confirms-he-halted-air-strikes-against-iran-n2548745,https://media.townhall.com/cdn/hodl/2019/163/9faa2e06-94c1-4423-a77b-e1c5a2f83ae6.png,"[31, 127, 16]"
2019-02-14T16:37:59-08:00,President Donald Trump on Thursday signed the spending bill and decided to declare a national emergency to obtain funding for his border wall. But not everyone is excited by the news.,townhall,https://townhall.com/tipsheet/bethbaumann/2019/02/14/not-all-conservatives-are-happy-about-trumps-national-emergency-declaration-n2541522,https://media.townhall.com/cdn/hodl/2019/44/c607921b-e5b3-4e04-ab63-5b232e493491.png,"[32, 16, 230]"
2018-07-19T15:11:57-07:00,He again helped Putin cover up Russia’s attack on the US.,motherjones,https://www.motherjones.com/politics/2018/07/in-helsinki-trump-shows-he-is-indeed-guilty-of-collusion/,https://www.motherjones.com/wp-content/uploads/2018/07/trump-putin-helsinki07162018.jpg?w=1200&amp;h=630&amp;crop=1,"[33, 19, 3]"
2022-07-20T12:44:42-07:00,"Twitter, a service built around brevity and speed, is about to get a lot busier. After seemingly ignoring every standard it had when it came to President Donald Trump’s most outrageous tweets, Tuesday night the company has posted its first fact check on a Trump claim that “There is NO WAY (ZERO!) that Mail-In Ballots will be anything less than substantially fraudulent. Mail",usatoday,https://www.usatoday.com/story/opinion/2020/05/27/twitter-fact-checks-trump-trump-cries-free-speech-scarborough-klausutis-column/5265167002/,"https://www.gannett-cdn.com/presto/2019/07/26/USAT/74b037e8-3bd4-4792-9f91-0ef5e78acd33-AFP_AFP_1HB8N8.JPG?crop=1876,1055,x1111,y891&amp;width=1876&amp;height=1055&amp;format=pjpg&amp;auto=webp","[34, 198, 230]"
2017-08-24T14:14:15-07:00,"President Trump’s Fort Myer speech was possibly his most coherent, controlled and unobjectionable public articulation since he took charge at the White House.",washingtonpost,https://www.washingtonpost.com/news/global-opinions/wp/2017/08/24/trump-gets-it-right-on-afghanistan-and-pakistan/?utm_term=.b792ec28d9c0,https://www.washingtonpost.com/wp-apps/imrs.php?src=http://img.washingtonpost.com/rf/image_960w/2010-2019/Wires/Images/2017-08-23/AP/Trump_Afghanistan_07980-f3752.jpg&amp;w=1440,"[35, 19, 3]"
2021-01-07T17:09:40-08:00,"Legislators on Wednesday questioned how protesters were able to gain access to the U.S. Capitol, saying the actions by U.S. Capitol Police officers would be examined. “I think it’s pretty clear that there’s going to be a number of people who are going to be without employment very, very soon because this is an embarrassment,” Rep. Tim Ryan (D-Ohio), chairman of the House",theepochtimes,https://www.theepochtimes.com/capitol-police-face-criticism-after-protesters-breach-building_3647416.html,https://img.theepochtimes.com/assets/uploads/2021/01/06/takes-positions-1200x818.jpg,"[36, 19, 3]"
2021-01-07T17:09:40-08:00,"Vice President Pence late Wednesday evening denounced the violence at the U.S. Capitol in remarks on the Senate floor as lawmakers reconvened to resume the counting of Electoral College votes. “To those who wreaked havoc in our Capitol today, you did not win. Violence never wins. Freedom wins. And this is still the people’s house,” Pence said.",thehill,https://thehill.com/homenews/administration/533042-pence-denounces-capitol-rioters-violence-never-wins,https://thehill.com/wp-content/uploads/sites/2/2021/01/pence_010621getty.jpg?w=1280,"[37, 172, 177]"
2019-01-03T13:32:36-08:00,"California Democrat Nancy Pelosi was elected speaker of the House of Representatives on Thursday, making her the first person to reclaim the gavel since 1955.",wsj,https://www.wsj.com/articles/new-congress-convenes-with-pelosi-set-to-be-elected-house-speaker-11546535431,https://s.wsj.net/img/meta/wsj-social-share.png,"[19, 30, 3]"
2020-08-27T07:14:42-07:00,"What 176,000-plus deaths from covid-19? What devastating shutdown and recession? What double-digit unemployment? What mass uncertainty over whether and how to open the schools? What shocking police killings of African Americans? What long-overdue reckoning with systemic racism? Let me put it another way: What country does Vice President Pence live in?",washingtonpost,https://www.washingtonpost.com/opinions/2020/08/27/mike-pence-appears-be-living-fantasyland/?hpid=hp_opinions-float-right-4-0_opinion-card-a-right%3Ahomepage/story-ans,https://www.washingtonpost.com/wp-apps/imrs.php?src=https://d1i4t8bqe7zgj6.cloudfront.net/08-27-2020/t_6390a1d5c8a646b78ae1f51e6f1c18a1_name_pence.jpg&amp;w=1440,"[39, 16, 216]"
2021-02-10T21:11:34-08:00,"Confusion reigned in the final moments of Day 2 of former President Donald Trump’s Senate impeachment trial on Wednesday when an angry GOP Sen. Mike Lee insisted he had been misquoted by House impeachment managers. As the Democratic lawmakers closed their first of two days of arguments, Lee (R-Utah) rose to his feet and demanded they strike from the record an account the House",nypost,https://nypost.com/2021/02/10/sen-mike-lee-rips-false-evidence-shown-at-trump-impeach-trial/,https://nypost.com/wp-content/uploads/sites/2/2021/02/MikeLeeImpeachment.jpg?quality=75&amp;strip=all&amp;w=1024,"[40, 19, 3]"
2016-11-02T16:57:45-07:00,"With all the divisive rhetoric, sensationalist journalism, and inflamed passions during this election cycle, schools can be one of our saving graces. Unfortunately, 40 percent of teachers are hesitant to teach about the election.",csmonitor,http://www.csmonitor.com/USA/Politics/Politics-Voices/2016/1101/How-schools-can-bring-civility-to-politics,https://images.csmonitor.com/csm/2016/11/1011515_1_111-school_standard.jpg?alias=standard_900x600,"[41, 19, 3]"
2019-04-18T09:18:49-07:00,"Members of President Donald Trump's campaign showed interest in benefiting from Russian government efforts to sway the 2016 presidential election in his favor, but investigators did not find evidence that their conduct amounted to a crime, special counsel Robert Mueller said in a long-awaited report revealed Thursday.",usatoday,https://www.usatoday.com/story/news/politics/2019/04/18/special-counsel-robert-mueller-report-justice-department-release-investigation-trump-russia/3330151002/,"https://www.gannett-cdn.com/presto/2019/04/18/USAT/72dc157e-5367-4bba-bd98-fbc6d614f947-AP_Trump_1.JPG?crop=3064,1719,x0,y80&amp;width=3064&amp;height=1719&amp;format=pjpg&amp;auto=webp","[42, 175, 127]"
